# LWT-PWN is the IDS/LWT concept list linked to Princeton WordNet 3.0 word sense identifiers.
#
# by Lars Borin
#
# version 1.0
# 2015-03-31
# 
# License: CC-BY 4.0 International <https://creativecommons.org/licenses/by/4.0/>
# 
# If you use this dataset or derivatives of it in publications,
# please cite:
#
# Lars Borin, Bernard Comrie, Anju Saxena 2013. The Intercontinental Dictionary Series –
# a rich and principled database for language comparison. In Lars Borin and Anju Saxena (eds.),
# Approaches to Measuring Linguistic Differences. De Gruyter Mouton. 285–302.
#
# @incollection{Borin-Lars2013-26,
#	title		= "The {I}ntercontinental {D}ictionary {S}eries -- a rich and principled database for language comparison",
#	booktitle	= "Approaches to Measuring Linguistic Differences",
#	author		= "Borin, Lars and Comrie, Bernard and Saxena, Anju",
#	editor		= {Borin, Lars and Saxena, Anju},
#	year		= "2013",
#	publisher	= "De Gruyter Mouton",
#	address		= "Berlin",
#	pages		= "285--302"
# }
#
# Data format:
# <IDS/LWT concept ID>tab<English gloss>tab<relation>tab<PWN word sense ID>tab<PWN definition>
# 
# <relation> is one of
# ss : synonym
# iu : hyponym/subordinate/narrower (A iu B = 'A is a hyponym of B')
# ui : hyperonym/superordinate/broader (A ui B = 'A is a hyperonym of B')
# Mappings to SALDO senses are not disambiguated in this version. Alternatives are separated by ":".
#
#
S01.770	the ice	ss	ice%1:27:00::	water frozen in the solid state; "Americans like ice in their drinks"
S01.7710	the arctic lights	ss	northern_lights%1:19:00::	northern lights/n	the aurora of the northern hemisphere
S01.7750	to freeze	ss	freeze%2:30:00::	change to ice; "The water in the bowl froze"
S01.780	the weather	ss	weather%1:19:00::	the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation; "they were hoping for good weather"; "every day we have weather conditions and yesterday was no exception"; "the conditions were too rainy for playing in the snow"
S01.810	the fire	ss	fire%1:22:00::	the process of combustion of inflammable materials producing heat and light and (often) smoke; "fire was one of our ancestors' first discoveries"
S01.820	the flame	ss	flame%1:22:00::	the process of combustion of inflammable materials producing heat and light and (often) smoke; "fire was one of our ancestors' first discoveries"
S01.830	the smoke	ss	smoke%1:22:00::	a hot vapor containing fine particles of carbon being produced by combustion; "the fire produced a tower of black smoke that could be seen for miles"
S01.8310	the steam	ss	steam%1:27:00::	water at boiling temperature diffused in the atmosphere
S01.840	the ash	ss	ash%1:27:01::	the residue that remains when something is burned
S01.841	the embers	ss	ember%1:17:00::	a hot fragment of wood or coal that is left from a fire and is glowing or smoldering
S01.851	to burn(1)	ss	burn%2:30:01::	cause to undergo combustion; "burn garbage"; "The car burns only Diesel oil"
S01.852	to burn(2)	ss	burn%2:30:00::	undergo combustion; "Maple wood burns well"
S01.860	to light	ss	light%2:43:00::	cause to start burning; subject to fire or great heat; "Great heat can ignite almost any dry matter"; "Light a cigarette"
S01.861	to extinguish	ss	extinguish%2:43:00::	put out, as of fires, flames, or lights; "Too big to be extinguished at once, the forest fires at best could be contained"; "quench the flames"; "snuff out the candles"
S01.870	the match	ss	match%1:06:00::	lighter consisting of a thin piece of wood or cardboard tipped with combustible chemical; ignites with friction; "he always carries matches to light his pipe"; "as long you've a lucifer to light your fag"
S01.880	the firewood	ss	firewood%1:27:00::	wood used for fuel; "they collected and cut their own firewood"
S01.890	the charcoal	ss	charcoal%1:27:00::	a carbonaceous material obtained by heating wood or other organic matter in the absence of air
S02.100	the person	ss	person%1:03:00::	a human being; "there was too much for one person to do"
S02.210	the man	ss	man%1:18:00::	an adult person who is male (as opposed to a woman); "there were two women and six men on the bus"
S02.220	the woman	ss	woman%1:18:00::	an adult female person (as opposed to a man); "the woman kept house while the man hunted"
S02.230	male(1)	ss	male%5:00:01:male:00	for or pertaining to or composed of men or boys; "the male lead"; "the male population"
S02.240	female(1)	ss	female%5:00:01:female:00	for or pertaining to or composed of women or girls; "the female lead in the play"; "a female chorus"
S02.250	the boy	ss	boy%1:18:00::	a youthful male person; "the baby was a boy"; "she made the boy brush his teeth every night"; "most soldiers are only boys in uniform"
S02.251	the young man	ss	young_man%1:18:00::	a teenager or a young adult male
S02.260	the girl	ss	girl%1:18:02::	a youthful female person; "the baby was a girl"; "the girls were just learning to ride a tricycle"
S02.261	the young woman	ss	young_woman%1:18:00::	a young woman; "a young lady of 18"
